horizon,date,MAE,RMSE,WAPE_percent,variant
25,2016-04-21,1.2728047156349995,2.1567495478959775,72.20767376105387,NO_PRICE
26,2016-04-22,1.449264006087104,2.397308554542395,70.35785056578273,NO_PRICE
27,2016-04-23,1.6521757365380678,2.8019790817622985,64.95695029836398,NO_PRICE
28,2016-04-24,1.7437055475764216,3.0996191312112917,61.82346093923804,NO_PRICE
1,2016-03-28,1.3254939359010027,2.4711219918271814,76.80382201168311,NO_CALENDAR_EVENT
2,2016-03-29,1.2935302604982084,2.7917717364464982,74.9215229478406,NO_CALENDAR_EVENT
3,2016-03-30,1.2585031151050208,2.1356876212257223,84.7058068574199,NO_CALENDAR_EVENT
4,2016-03-31,1.3520291734382475,2.857171702849884,73.28803931462699,NO_CALENDAR_EVENT
5,2016-04-01,1.267272164642995,2.126090760969622,58.14400065747074,NO_CALENDAR_EVENT
6,2016-04-02,1.5647286619066223,3.1335543649056508,57.80244439999528,NO_CALENDAR_EVENT
7,2016-04-03,1.6428688787427461,3.1023844019275653,55.86376192033426,NO_CALENDAR_EVENT
8,2016-04-04,1.4648715121818676,2.8241814479648584,64.31470708846146,NO_CALENDAR_EVENT
9,2016-04-05,1.374833318555537,2.7155662141641512,72.87478711782762,NO_CALENDAR_EVENT
10,2016-04-06,1.3528045540291196,2.4566669215907826,72.05263692141753,NO_CALENDAR_EVENT
11,2016-04-07,1.3396555874603635,2.4959932104920592,78.57490119104254,NO_CALENDAR_EVENT
12,2016-04-08,1.3975077478248152,2.421972869206891,63.93564576963576,NO_CALENDAR_EVENT
13,2016-04-09,1.5543149197328299,2.5810401782201144,54.83797052924323,NO_CALENDAR_EVENT
14,2016-04-10,1.7600067656739338,3.5421648070681893,62.27849599294368,NO_CALENDAR_EVENT
15,2016-04-11,1.4907124697006513,2.8353676693320238,74.48379064533505,NO_CALENDAR_EVENT
16,2016-04-12,1.399621881925998,2.773409846115925,84.7915954606939,NO_CALENDAR_EVENT
17,2016-04-13,1.3675616771924435,2.520215811316572,83.94643870677237,NO_CALENDAR_EVENT
18,2016-04-14,1.3548859480626507,2.23251162669304,80.42012008946837,NO_CALENDAR_EVENT
19,2016-04-15,1.315082075747369,2.089161483482692,69.83639847926716,NO_CALENDAR_EVENT
20,2016-04-16,1.526318628343876,2.5400491141868033,63.0083271740922,NO_CALENDAR_EVENT
21,2016-04-17,1.6903837410685791,2.9656353811994607,60.666369528360356,NO_CALENDAR_EVENT
22,2016-04-18,1.409104418546472,2.753110054021848,70.16226782575468,NO_CALENDAR_EVENT
23,2016-04-19,1.343066047239665,2.236993280754161,77.5717809438665,NO_CALENDAR_EVENT
24,2016-04-20,1.3483003930217232,2.33383337666275,77.81155280209704,NO_CALENDAR_EVENT
25,2016-04-21,1.3081569942722204,2.1512346302771106,74.21324914209163,NO_CALENDAR_EVENT
26,2016-04-22,1.4133469035856103,2.329226361028986,68.61417231258521,NO_CALENDAR_EVENT
27,2016-04-23,1.5503355511399368,2.63782851899741,60.95300101198603,NO_CALENDAR_EVENT
28,2016-04-24,1.746290350916472,3.124042525877897,61.91510570606884,NO_CALENDAR_EVENT
1,2016-03-28,1.3277389055688134,2.5517042048811227,76.93390352025745,DEMAND_PRODUCT_ONLY
2,2016-03-29,1.2917155181643474,2.794513105289794,74.81641272076449,DEMAND_PRODUCT_ONLY
3,2016-03-30,1.258813476743369,2.1759775426420114,84.72669630352325,DEMAND_PRODUCT_ONLY
4,2016-03-31,1.3516217014471539,2.8579573835062706,73.2659519041705,DEMAND_PRODUCT_ONLY
5,2016-04-01,1.2634223789168995,2.108866522005116,57.96736776831368,DEMAND_PRODUCT_ONLY
6,2016-04-02,1.566791267730422,3.1383822576679843,57.87863886191816,DEMAND_PRODUCT_ONLY
7,2016-04-03,1.6411611322006834,3.0509029955653277,55.80569207222863,DEMAND_PRODUCT_ONLY
